gene	symbol	gene.name	phenotype.summary
YBR265W	TSC10	Temperature-sensitive Suppressors of Csg2 mutants	Essential gene; diploid heterozygous null mutant is sensitive to dihydromotuporamine C; in large-scale studies, repression confers lower competitive fitness, sensitivity to HU and MMS, and resistance to myriocin; diploid heterozygous null mutant is sensitive to a human cationic antimicrobial peptide

YLR100W	ERG27	ERGosterol biosynthesis	Essential gene under standard conditions; null mutant can grow when supplied with ergosterol; repression causes abnormal mitochondrial morphology and sensitivity to hydroxyurea; conditional mutation confers resistance to K28 killer toxin

YER142C	MAG1	3-MethylAdenine DNA Glycosylase	NA
YOL151W	GRE2	Genes de Respuesta a Estres (stress responsive genes)	NA
YPR167C	MET16	METhionine requiring	NA
YIL074C	SER33	SERine requiring	NA
YER081W	SER3	SERine requiring	NA
YCR012W	PGK1	3-PhosphoGlycerate Kinase	Essential gene under standard conditions; null mutant is unable to utilize glucose, galactose, or glycerol carbon sources but can grow on ethanol; overexpression confers increased growth rate; in large-scale studies, mutants exhibit chromosome instability and reduced starvation resistance

YOR184W	SER1	SERine requiring	NA
YER183C	FAU1	Folinic Acid Utilization	NA
YOR033C	EXO1	EXOnuclease	Non-essential gene; null mutant is sensitive to MMS and phleomycin; sumoylation of Rad52p and Rfa1p in response to DNA damage is reduced in the null mutant and increased in an activated mutant; in large-scale studies the null mutant displays decreased cell size and altered resistance to various chemicals

YDR232W	HEM1	HEMe biosynthesis	NA
YAL027W	SAW1	Single-strand Annealing Weakened	Non-essential gene; null mutant shows increased mitotic rDNA recombination and decreased competitive fitness
YBR242W	NA	NA	NA
YGL101W	YGK1	NA	NA
YPR118W	MRI1	MethylthioRibose-1-phosphate Isomerase	NA
YJR024C	MDE1	Methylthioribulose-1-phosphate DEhydratase	NA
YKL215C	OXP1	OXoProlinase	NA
YHL011C	PRS3	PhosphoRibosylpyrophosphate Synthetase	NA
YOL061W	PRS5	PhosphoRibosylpyrophosphate Synthetase	NA
YER099C	PRS2	PhosphoRibosylpyrophosphate Synthetase	NA
YKL181W	PRS1	PhosphoRibosylpyrophosphate Synthetase	NA
YBL068W	PRS4	PhosphoRibosylpyrophosphate Synthetase	NA
YER171W	RAD3	RADiation sensitive	Essential gene; point mutations result in increased mitotic recombination, elevated mutation frequence, and increased UV sensititvity

YKL113C	RAD27	RADiation sensitive	Non-essential gene; null mutant displays sensitivity to agents affecting DNA metabolism such as 5-fluorouracil, MMS, and UV light; null mutant has elevated mutation frequency, decreased replicative lifespan, and abnormal nuclear morphology; in large-scale studies null mutant displays decreased competitive fitness, chronological lifespan, and filamentous growth, and is sensitive to heat, oxidative stress, metals, and various chemicals

YOL136C	PFK27	6-PhosphoFructo-2-Kinase	NA
YIL107C	PFK26	6-PhosphoFructo-2-Kinase	NA
YHR183W	GND1	6-phosphoGlucoNateDehydrogenase	NA
YGR256W	GND2	6-phosphoGlucoNateDehydrogenase	NA
YHR163W	SOL3	Suppressor Of Los1-1	NA
YGR248W	SOL4	Suppressor Of Los1-1	NA
YNR023W	SNF12	Sucrose NonFermenting	NA
YNR058W	BIO3	BIOtin	Non-essential gene; null mutant is auxotrophic for biotin, and displays increased competitive fitness in minimal medium, and respiratory growth medium; null mutant has reduced anaerobic growth during anoxia; heterozygous diploid null has decreased starvation resistance and is haploinsufficient
YLR151C	PCD1	Peroxisomal Coenzyme A Diphosphatase	NA
YJR142W	NA	NA	NA
YBR080C	SEC18	SECretory	Essential gene; conditional mutants are defective in protein secretion and show abnormal ER morphology; overexpression in Sigma127b reduces filamentous/invasive growth

YPR173C	VPS4	Vacuolar Protein Sorting	Non-essential gene; null mutant displays defective trafficking of MVB cargo proteins, missorting cargo to the limiting vacuolar membrane and class E compartment rather than the vacuolar lumen; null mutant has decreased endocytosis, secretion defects and abnormal vacuolar morphology; null mutant also displays decreased acid pH resistance, decreased autophagy and starvation resistance while a gain-of-function mutant induces autophagy in rich medium; overexpression results in increased invasive filamentation while a null mutant is unable to undergo invasive growth; diploid null mutants have a severe sporulation defect

YDL126C	CDC48	Cell Division Cycle	Essential gene; conditional mutations cause cell cycle arrest, abnormal cell morphology, aggregation of mitochondria, elongated spindles that fail to disassemble, sensitivity to cell wall-affecting drugs and oxidative stress; overexpression leads to slow growth

YNL329C	PEX6	PEroXin	NA
YKL197C	PEX1	PEroXin	NA
YLL015W	BPT1	Bile Pigment Transporter	Non-essential gene; null mutant is auxotrophic for myo-inositol; null mutant displays decreased competitive fitness in minimal medium, respiratory growth medium and synthetic oak exudate but increased fitness in synthetic complete medium; null mutant displays increased survival following a ramped heat stimulus; null mutant has decreased resistance to lead treatment; heterozygous diploid null is haploinsufficient
YDL121C	EXP1	ER eXport of Pma1	NA
YIL139C	REV7	REVersionless	NA
YLR355C	ILV5	IsoLeucine-plus-Valine requiring	NA
YMR108W	ILV2	IsoLeucine-plus-Valine requiring	NA
YDR517W	GRH1	GRasp65 (Golgi reassembly stacking protein of 65kD) Homolog	NA
YPL028W	ERG10	ERGosterol biosynthesis	Essential gene; mutants require ergosterol; in large-scale studies, repression confers G2-phase cell cycle delay, increased chromosome instability, decreased competitive fitness, and abnormal mitochondrial morphology; heterozygous null mutant is sensitive to hydroxyurea

YNR016C	ACC1	Acetyl-CoA Carboxylase	Essential gene; conditional mutants accumulate poly(A) RNA in the nucleus; overexpression leads to increased lipid accumulation; reduction of function results in chromosome instability, decreased competitive fitness, heat sensitivity

YLR153C	ACS2	Acetyl CoA Synthetase	Non-essential gene; null mutant is capable of respiratory growth on non-fermentable carbon sources, but incapable of fermentative growth on glucose as a carbon source

YAL054C	ACS1	Acetyl CoA Synthetase	Non-essential gene; null mutant shows decreased fermentative growth and is incapable of respiratory growth on non-fermentable carbon sources

YER069W	ARG5,6	ARGinine requiring	Non-essential gene; mutation results in arginine autotrophy; null mutant has decreased competitive fitness in synthetic medium and is unable to use allantoin as nitrogen source; heterozygous diploid displays decreased starvation resistance; null has an endocytosis defect; heterozygous diploid null is haploinsufficient

YJL071W	ARG2	ARGinine requiring	Non-essential gene; null mutant is auxotrophic for arginine and is unable to use allantoin as nitrogen source; null mutant has decreased competitive fitness in synthetic media but increased fitness in media containing glycerol or ethanol; null has decreased resistance to alpha-synuclein expression, and accumulates increased reactive oxygen species (ROS), while overexpression decreases the accumulation of ROS associated associated with alpha-synuclein expression; systematic null mutant has decreased telomere length and increased metal reductase activity

YOL140W	ARG8	ARGinine requiring	Non-essential gene; null mutant displays decreased biofilm formation, decreased resistance to flucytosine and smaller and smoother colonies when cells were grown on sucrose containing media

YLL063C	AYT1	AcetYlTransferase	Non-essential gene; null mutant displays increased competitive fitness in minimal medium; null mutant has increased resistance to the antifungal agent miconazole, and to the insecticide toxaphene; heterozygous diploid null is haploinsufficient

YFR027W	ECO1	Establishment of COhesion	NA
YNL132W	KRE33	Killer toxin REsistant	Essential gene; repression leads to buildup of unprocessed pre-rRNA precursors and depletion of small ribosomal subunits

YDR051C	DET1	Decreased Ergosterol Transport	Non-essential gene; null mutation changes temperature sensitivity and decreased accumulation of sterols; mutants in competitive growth experiments show decreased fitness and increased chronological lifespan 
YPR026W	ATH1	Acid TreHalase	Non-essential gene; null mutant displays decreased competitive fitness on minimal medium, a severe defect in the ability to utilize trehalose as a carbon source and reduced starvation resistance; null mutant has a reduction in chronological lifespan but increased lifespan after caloric restriction; overexpression results in increased invasive growth

YMR009W	ADI1	Acireductone DIoxygenase	Non-essential gene; null mutants show increased competitive fitness, have abnormal vacuolar morphology, are sensitive to UV and to desiccation; heterozygous diploid nulls are haploinsufficient

YLR304C	ACO1	ACOnitase	Non-essential gene; null mutant shows glutamate auxotrophy, sensitivity to hyperosmotic stress, increased accumulation of iron in the mitochondria, loss of mitochondrial genome and deficiency in respiratory growth

YFL039C	ACT1	ACTin	Essential gene; conditional mutants show pleiotropic defects including abnormal actin cytoskeleton, chromosome instability, altered subcellular morphology, increased sensitivity to heat, multiple chemicals and osmotic stress; overexpression leads to growth arrest

YLR319C	BUD6	BUD site selection	Non-essential gene; null mutant has defects in actin cytoskeleton and displays abnormal random budding pattern in both haploids and diploids, reduced shmoo formation, disorganized spindles, abnormal septa, increased cell size and reduced growth rate
YOR181W	LAS17	NA	Non-essential gene; null mutant grows slowly and displays abnormal actin cytoskeleton morphology, decreased cytokinesis, defective endocytosis, sensitivity to osmotic stress, and random budding pattern

YHR016C	YSC84	NA	NA
YCR088W	ABP1	Actin Binding Protein	Non-essential gene; null mutant has abnormalities in actin cytoskeleton morphology, decreased endocytosis and blocked filamentous growth; in diploids, homozygous null mutant shows reduced sporulation efficiency; overexpression causes reduced growth rate; in systematc studies, null mutant is sensitive to caffeine, camptothecin, bleomycin and cycloheximide, but resistant to hygromycin B, spermine and tetramethylammonium

YMR092C	AIP1	Actin Interacting Protein	Non-essential gene; null mutant shows defects in actin cytoskeleton and cytokinesis, and increased sensitivity to ethanol; in systematic studies null mutant is auxotrophic for inositol and displays defective endocytosis and sensitivity to hyperosmotic stress; overexpression in Sigma1278b leads to increased filamentous growth

YPL242C	IQG1	IQGAP-related protein	NA
YHR129C	ARP1	Actin-Related Protein	Non-essential gene; null mutant displays a decreased growth rate on rich media, decreased competitive fitness on various media and a decreased ability to utilize urea as a nitrogen source; null mutant is temperature sensitive, and has decreased respiratory growth at 37 deg C; null mutant has abnormal spindle morphology and nuclear migration, with increased quantities of anucleate and multinucleate cells; null mutant displays decreased resistance to oxidative stress and zinc deficiency, and reduced resistance to desiccation; overexpression results in abnormal nuclear migration, spindle orientation defects, a G2 or M phase arrest or delay and inviability

YLR085C	ARP6	Actin-Related Protein	Non-essential gene; null mutant has slightly disorganized actin filaments, and abnormal vacuolar morphology with a large vacuolar lobe surrounded by many smaller lobes; null mutant has an increased frequency of spontaneous interchromosomal heteroallelic recombination and an increased frequency of spontaneous and MMS-induced unequal sister chromatid recombination; null mutant has increased chronological lifespan under both nitrogen starvation and nitrogen-rich conditions; null mutant is desiccation sensitive; heterozygous null mutant is haploproficient

YGL115W	SNF4	Sucrose NonFermenting	NA
YGL003C	CDH1	CDC20 Homolog	Non-essential gene; null mutation confers sensitivity to caffeine, ethanol, hyperosmotic stress; null mutant cells are smaller; overexpression causes cell cycle arrest at M phase
YGL116W	CDC20	Cell Division Cycle	Essential gene; conditional mutations cause cell cycle arrest in M phase and accumulation of abnormally large budded cells

YFL034C-B	MOB2	Mps One Binder	NA
YBL061C	SKT5	NA	NA
YOR066W	MSA1	Mbf and Sbf Associated	NA
YGR225W	AMA1	Activator of Meiotic APC/C	Non-essential gene; null mutant has a major sporulation defect; early spore wall formation is abnormal in the diploid null mutant, including the absence of beta-glucan and chitosan layers, as well as the absence of glucosamine and a reduction in diyrosine levels; homozygous diploid null mutant displays elevated levels of Clb1p, and Ssp1p and decreased activation of Smk1p after meiotic induction; overexpression results in decreased accumulation of Clb1p in diploids induced to enter meiosis; heterozygous diploid null is haploinsufficient

YHR035W	NEL1	Non-ERES Localized Sec23 homolog 1	NA
YGR037C	ACB1	Acyl-CoA-Binding	Non-essential gene; null mutant shows extended replicative lifespan under caloric restrictions; in large-scale surveys, null mutation causes increased frequency of mitochondrial genome loss and decreased competitive fitness; null mutant shows greatly decreased filamentous growth and absent invasive growth in Sigma1278b

YCR048W	ARE1	Acyl-coenzyme A: cholesterol acyl transferase-Related Enzyme	Non-essential gene; null mutant shows reduced amounts of sterol esters; in systematic studies null mutants show reduced competitive fitness, increased resistance to selenomethionine and decreased endocytosis

YNR019W	ARE2	Acyl-coenzyme A: cholesterol acyl transferase-Related Enzyme	Non-essential gene; null mutant shows abnormalities in cell wall, sensitivity to caffeine, and reduced sporulation efficiency in diploid; overexpression causes slow growth

YBR177C	EHT1	Ethanol Hexanoyl Transferase	NA
YPL095C	EEB1	Ethyl Ester Biosynthesis	Non-essential gene; null mutant contains reduced levels of medium-chain fatty acid ethyl esters; in large-scale studies null mutant has lower rate of anaerobic growth and is sensitive to oxidative stress, amitrole and cicloheximide; null mutant in Sigma1278b is incapable of invasive growth and shows decreased filamentous growth

YLR118C	TML25	acyl-protein Thioesterase with Multiple Localizations, protein of 25 kDa	NA
YBR042C	CST26	Chromosome STability	Non-essential gene; null mutant has lower phospholipid content and elevated contents of triglycerides and sterol esters; overexpression causes increased frequency of chromosome loss and altered chromosome stability; in systematic studies mutation reduces competitive fitness
YNR008W	LRO1	Lecithin cholesterol acyl transferase Related Open reading frame	NA
YPR049C	ATG11	AuTophaGy related	Non-essential gene; null mutant shows decreased autophagy, mitophagy and pexophagy, and increased sensitivity to nitrogen starvation

YPR171W	BSP1	Binding protein of Synaptojanin Polyphosphoinositide phosphatase domain	Non-essential gene; overexpression causes abnormalities in actin cytoskeleton, budding and cell cycle progression; in systematic study null mutant shows increased biofilm formation
YCL032W	STE50	STErile	NA
YDR323C	PEP7	carboxyPEPtidase Y-deficient	NA
YPL254W	HFI1	Histone H2A Functional Interactor	NA
YNL243W	SLA2	Synthetic Lethal with ABP1	NA
YNL141W	AAH1	Adenine AminoHydrolase	Non-essential gene; null mutant displays a decreased growth rate, decreased competitive fitness in minimal media, decreased starvation resistance and increased cold sensitivity; null mutant has increased sensitivity to mutagenic purine base analogs, and displays decreased accumulation of hypoxanthine, inosine and IMP; overexpression results in an increase in the proportion of cells with a 1N DNA content, indicative of a G1 arrest or delay; heterozygous null mutant is haploinsufficient

YML022W	APT1	Adenine PhosphoribosylTransferase	Non-essential gene; null mutant is resistant to adenine analog 8-azaadenine; in systematic studies null mutants show reduced competitive fitness and sensitivity to hydroxyurea, MMS, DTT, flucytosine

YDL125C	HNT1	Histidine triad NucleoTide-binding	Non-essential gene; null mutant is sensitive to cicloheximide and streptomycin, and shows decreased competitive fitness

YJR105W	ADO1	ADenOsine kinase	Non-essential gene; null mutant shows increased accumulation of glycogen and resistance to adenosine analog cordycepin; in systematic studies, null mutant shows reduced growth rate and lower competitive fitness, smaller peroxisomes, sensitivity to tunicamycin, caspofungin and myriocin, and increased resistance to hydroxyurea

YJL005W	CYR1	CYclic AMP Requirement	Essential gene; conditional mutations confer slow growth, increased accumulation of glycogen and increased sensitivity to heat and oxidative stress; conditional mutants are defective in respiratory growth and show increased chronological lifespan

YDR226W	ADK1	ADenylate Kinase	Non-essential gene; null mutant displays slow growth and inability to utilize non-fermentable carbon sources (glycerol, lactate); also shows depleted pool of ADP and ATP, increased accumulation of ethanol and glycerol, inositol auxotrophy and delayed progression through G1 phase of the cell cycle

YLR359W	ADE13	ADEnine requiring	Essential gene in S288C; reduction-of-function mutations result in adenine auxotrophy
YNL220W	ADE12	ADEnine requiring	Non-essential gene; null mutant displays adenine auxotrophy, forms red colonies, accumulates hypoxanthine and inosine, and is sensitive to purine analogs

YKL001C	MET14	METhionine requiring	Non-essential gene; null mutant displays methionine auxotrophy, decreased endocytosis and reduced competitive fitness

YGL032C	AGA2	a-AGglutinin	Non-essential gene; null mutant shows reduced mating efficiency, elevated sensitivity to copper, and increased resistance to Calcofluor White

YIL110W	HPM1	Histidine Protein Methyltransferase	NA
YCL054W	SPB1	Suppressor of PaB1 mutant	NA
YBR261C	TAE1	Translation Associated Element	NA
YOL141W	PPM2	Protein Phosphatase Methyltransferase	NA
YOR239W	ABP140	Actin Binding Protein	Non-essential gene; null mutant lacks 3-methylcytidine modification on tRNA-Thr and tRNA-Ser; overexpression decreases growth rate and competitive fitness in S288C but increases pseudohyphal growth in Sigma1278b

YNL083W	SAL1	Suppressor of Aac2 Lethality	NA
YDL137W	ARF2	ADP-Ribosylation Factor	Non-essential gene; null mutants have abnormal vacuolar morphology, decreased competitive fitness, are impaired in the use of arginine as a nitrogen source, sensitive to antimalarial mefloquine and the histone deacetylase inhibitor CG-1521, resistant to acetic acid; conditional mutants are sensitive to cold; overexpression slows vegetative growth in strain S288C, increases filamentous growth in strain Sigma1278b, arrests cell cycle progression at G2 or M phase in strain W303

YDL192W	ARF1	ADP-Ribosylation Factor	Non-essential gene; null mutant is temperature sensitive for growth, is a myo-inositol auxotroph, and displays decreased competitive fitness and growth rate; null mutant has protein processing/trafficking defects, and displays decreased replicative and chronological lifespans, survival rate in stationary phase, mitophagy, desiccation resistance and shortened telomeres; overexpression results in a G2 or M phase delay

YDR524C	AGE1	Arf Gap with Effector function(s)	Non-essential gene; in large-scale studies, null mutant shows sensitivity to cycloheximide, streptomycin and glyoxal; heterozygous null mutation in diploid causes chromosome instability

YIL044C	AGE2	ArfGAP Effector	Non-essential gene; in systematic studies, homozygous null mutant diploid shows inositol auxotrophy and sensitivity to bafilomycin and phleomycin; null mutants also show sensitivity to bleomycin, caffeine, cycloheximide, azoles, mycophenolic acid; null mutant has opi- phenotype (overproduction and excretion of inositol in the absence of inositol and choline)

YDL226C	GCS1	Growth Cold Sensitive	NA
YER122C	GLO3	GLyOxalase	NA
YHR205W	SCH9	NA	Non-essential gene; null mutants shows slow exponential growth, increased entry and survival in stationary phase, higher innate thermotolerance and longer replicative lifespan; null mutation decreases respiratory growth and increases resistance to cisplatin, myriocin and hydroxyurea, but lowers resistance to MMS and quinine; mutations affect sensitivity to hyperosmotic and oxidative stresses

YBR028C	YPK3	NA	NA
YFL030W	AGX1	Alanine:Glyoxylate aminotrans(X)ferase	Non-essential gene; null mutants show decreased competitive fitness; heterozygous diploid nulls are sensitive to starvation; overexpression increases resistance to rapamycin

YLR089C	ALT1	ALanine Transaminase	Non-essential gene; null mutant accumulates alanine and shows decreased growth rate in exponential phase; null mutant is defective in utilization of alanine as nitrogen source and accumulates reactive oxigen species; in systematic studies null mutants grow poorly under anaerobic growth conditions and are sensitive to amitrole, cycloheximide, neomycin, caspofungin, cordycepin, but resistant to myriocin

YGR177C	ATF2	AcetylTransFerase	Non-essential gene; null mutant shows reduced production of acetate esters and sensitivity to plant-derived allylbenzene eugenol; in systematic studies null mutant shows reduced calcium accumulation, sensitivity to cycloheximide and increased competitive fitness
YOR377W	ATF1	AcetylTransFerase	Non-essential gene; null mutant shows reduced production of acetate esters; overexpression causes greatly increased production of acetate esters; in systematic studies null mutant shows reduced sporulation in homozygous diploid and decreased competitive fitness

YOL086C	ADH1	Alcohol DeHydrogenase	Non-essential gene; null mutant cells are large and show decreased fermentative growth rate, sensitivity to oxidative stress, antifungal drugs, and other chemicals

YGL256W	ADH4	Alcohol DeHydrogenase	Non-essential gene; null mutant is heat sensitive and shows shortened chronological lifespan
YBR145W	ADH5	Alcohol DeHydrogenase	Non-essential gene; null mutant is sensitive to cycloheximide and streptomycin but resistant to nickel
YGL039W	NA	NA	NA
YDR541C	NA	NA	NA
YHR104W	GRE3	Genes de Respuesta a Estres (stress responsive genes)	NA
YBR183W	YPC1	Yeast Phyto-Ceramidase	NA
YPL087W	YDC1	Yeast DihydroCeramidase	NA
YJR152W	DAL5	Degradation of Allantoin	Non-essential gene; null mutant displays elevated deposition of chitin in the cell wall and is unable to utilize some dipeptides as nitrogen sources; in large scale studies mutants show increased sensitivity to farnesol and Congo Red, also show abnormally round buds; overexpression causes slow growth
YIR029W	DAL2	Degradation of Allantoin	Non-essential gene; null mutant is unable to utilize allantoin or allantoate as nitrogen sources; in systematic studies, mutant shows increased competitive fitness in minimal media
YIR027C	DAL1	Degradation of Allantoin	Non-essential gene; null mutant is unable to utilize allantoin as nitrogen source; in systematic studies, mutants show increased competitive fitness in minimal media and decreased utilization of galactose as carbon source; overexpression in strain Sigma1278b increases invasive growth
YIR028W	DAL4	Degradation of Allantoin	Non-essential gene; null mutant is unable to utilize allantoin as nitrogen source; in systematic studies, mutants show increased competitive fitness in minimal media and grow poorly under anaerobic conditions; overexpression in strain Sigma1278b increases invasive growth
YJR131W	MNS1	NA	NA
YOR149C	SMP3	Stable Maintenance of pSRI	Essential gene; in large-scale studies, repression confers decreased competitive fitness and sensitivity to human TDP-43 protein; conditional mutant displays chromosome instability at semi-permissive temperature and accumulates less Rnr3p at the permissive temperature in the presence of MMS; diploid heterozygous null mutant is sensitive to hydrogen peroxide

YNL048W	ALG11	Asparagine-Linked Glycosylation	Non-essential gene; null mutant is sensitive to elevated temperatures and to cell wall-affecting drugs caffeine and Calcofluor White; null mutant also grows slowly

YOR099W	KTR1	Kre Two Related	NA
YBR015C	MNN2	MaNNosyltransferase	NA
YJL186W	MNN5	MaNNosyltransferase	NA
YDR483W	KRE2	Killer toxin REsistant	NA
YHR204W	MNL1	MaNnosidase-Like protein	Non-essential gene; null mutant accumulates glycogen; overexpression causes increased levels of Man7GlcNAc2 and decreased levels of Man8GlcNAc2

YIL014W	MNT3	MaNnosylTransferase	NA
YER001W	MNN1	MaNNosyltransferase	NA
YJR075W	HOC1	Homologous to OCh1	NA
YNR030W	ALG12	Asparagine-Linked Glycosylation	Non-essential gene; null mutation confers increased resistance to oxidative stress, Calcofluor White, Congo Red, and MMS; null mutant is sensitive to papulacandin B and tunicamycin; null mutant displays increased replicative lifespan, but the impact of caloric restriction is less than for wild type; in large-scale studies the null mutant shows altered sensitivity to a variety of chemicals and has enhanced competitive fitness

YGL011C	SCL1	Suppressor of Crl3 ts Lethality	Essential gene; ts mutation causes chromosome instability and sensitivity to bleomycin and HU; in large-scale studies, repression causes decreased competitive fitness; mutations cause sensitivity to K28 killer toxin and resistance to cycloheximide; diploid heterozygous null mutant is sensitive to calmidazolium and is haploinsufficient

YML092C	PRE8	PRoteinase yscE	NA
YGR135W	PRE9	PRoteinase yscE	NA
YOL038W	PRE6	PRoteinase yscE	NA
YGR253C	PUP2	PUtative Proteasome subunit	Essential gene; conditional (ts) mutants are sensitive to bleomycin and hydroxyurea, and show chromosome instability

YMR314W	PRE5	PRoteinase yscE	Essential gene; conditional (ts) mutants display chromosome instability, sensitivity to bleomycin and hydroxyurea; reduction of function leads to shortening of telomeres, abnormal mitochondrial morphology, and sensitivity to benomyl and MMS

YOR362C	PRE10	PRoteinase yscE	Essential gene; in a large-scale study conditional mutant shows increased chromosomal instability; heterozygous null mutant is sensitive to elevated temperatures

YBL037W	APL3	clathrin Adaptor Protein complex Large chain	Non-essential gene; null mutant shows increased competitive fitness; homozygous null mutant diploid accumulates increased amounts of glycerol

YJR004C	SAG1	Sexual AGglutination	NA
YBR115C	LYS2	LYSine requiring	Non-essential gene; null mutant requires lysine for growth and is sensitive to acetic acid; lys2-402 mutant is able to utilize alpha-aminoadipate as nitrogen source; in large-scale studies null mutant displays altered resistance to various chemicals

YJL084C	ALY2	Arrestin-Like Yeast protein	Non-essential gene; null mutant has increased competitive fitness in minimal medium and rich medium containing ethanol; null mutant is resistant to toxic amino acid analogs in nitrogen limiting medium; null mutant is rapamycin sensitive while overexpressor is rapamycin resistant; null mutant is defective in the delivery of proteins to the plasma membrane

